,Unnamed: 0,species,genus,family,order,biotope,sound_id,min_t,max_t,min_f,max_f,dt,df,centroid_f,centroid_t,duration_t,bandwidth_f,area_tf,shp_002,shp_003,shp_004,shp_005,shp_006,shp_007,shp_008,shp_009,shp_010,shp_011,shp_012,shp_013,shp_014,shp_015,shp_016,shp_017,shp_018,shp_019,shp_020,shp_021,shp_022,shp_023,shp_024,shp_025,shp_026,shp_027,shp_028,shp_029,shp_030,shp_031,shp_032,shp_033,shp_034,shp_035,shp_036,shp_037,shp_038,shp_039,shp_040,shp_041,shp_042,shp_043,shp_044,shp_045,shp_046,shp_047,shp_048,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,ROU,ZCR,MEANt,VARt,SKEWt,KURTt,Ht
0,0,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,2.9653,3.0856,3787.412,6407.471,0.1203,2620.059,5124.90234375,3.030204081632653,0.1277097505668934,2627.05078125,335.5,0.1549759586071515,0.0695223147904182,0.0754877924549194,0.0505132365480792,0.0512158051650769,0.0642168103297501,0.0706910673145809,0.1795713722061246,0.1609110927843002,0.0533622573824314,0.0477927186243209,0.0372420293919939,0.0322055183708153,0.048013358866777,0.0431615199619452,0.142072134047856,0.1150378102783882,0.0620339461510938,0.0493820228519413,0.0331356661457234,0.0287717262517052,0.0475345950587607,0.0424888943501739,0.1097232822475736,0.1535359821366742,0.0494331052911309,0.0464728785085716,0.0321085971300352,0.029544898304025,0.0521883975954665,0.0429602537087234,0.0457395965205022,0.0270392181168932,0.0520145525800101,0.0386711489380032,0.0449363901228915,0.0330447779024473,0.0310045157118731,0.0250047982789039,0.024941601200078,0.0274561008414681,0.0176666798478139,0.0272463134222176,0.0836547880348523,0.0726390278260222,0.0405105959789417,0.0356240839558805,4.851457660237897e-05,3.4640868917775356e-08,10.602261403532216,149.09316425180103,63,45.77407511069852,-47.22592488930147,-51.90915691523352,4.68323202593205,0.3434030998111302,0.2585568531769975,1.0,1.0,1,82.5614658419209,8.491090543191024,316.40095464778983,-0.1481669936757765,0.0001582765493651,1072.3656927426955,-1.339383102281056e-18,0.0008252577834563,-0.4708445088534189,1.924333979692628,0.8740522799076003
1,1,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,3.1156,3.326,4306.235,6485.294,0.2104,2179.059,5426.3671875,3.215963718820862,0.2089795918367347,2196.38671875,459.0,0.1843929241384407,0.0679828065743534,0.0747363353999469,0.0463639146119664,0.0501850854267685,0.0564062885887989,0.0665892699541741,0.1701809208212151,0.1487444581572972,0.0499481895363848,0.0468329991920045,0.0384976920700356,0.0291700437374759,0.0386783132336485,0.0364344280182172,0.132632310013338,0.1299840663567809,0.0510663882070538,0.0396266075739305,0.0444155759756072,0.0310777879379464,0.0476472780129027,0.0368598808646616,0.0758422564315507,0.0832214401873411,0.0557141067756083,0.0464757445636942,0.0474313305227616,0.0469389067123271,0.0509166271785935,0.0444275252907035,0.0478014561519398,0.0496811341458492,0.0693851315624719,0.0530470042720275,0.0361392622089131,0.0328786056367585,0.0363513581925098,0.0243297937144743,0.0247043306999695,0.0293284859565166,0.014321361914033,0.0244401607049807,0.0909729034615344,0.0765904672262127,0.0409915945654582,0.0382150687775139,7.46477268309932e-05,7.824512659178832e-08,12.219243965559611,205.31798497579865,59,49.32604196275732,-43.67395803724268,-49.287631078716345,5.613673041473668,0.3302309033256831,0.2411538749279396,1.0,1.0,1,70.66912419389621,7.777519238963276,353.3329907127045,-0.3542482783045959,0.0007771721546589,617.846750727449,9.189042816166833e-18,0.0021840117798489,-0.0729388669554318,1.5954062960101512,0.9351354926870497
2,2,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,3.4562,3.5163,3528.0,5058.529,0.0601,1530.529,4306.640625,3.4946031746031747,0.0580498866213151,1507.32421875,87.5,0.2158744407283727,0.0572608398611697,0.0657459029353386,0.044941562850859,0.0517151523818431,0.0707990488932549,0.0750557093575695,0.2404793092860429,0.2219268380879319,0.0382262494562235,0.0365074190153049,0.0334468863148492,0.0249098201873087,0.058611022557695,0.0524138644653147,0.1308691803260074,0.1319346111350948,0.0316388795582522,0.0284257035688629,0.0381123828935171,0.0297286422570586,0.0718080254017137,0.0576521975132905,0.0967921949102313,0.1266391466807896,0.0480183373981316,0.034665810771459,0.0415802892698542,0.0302531603460706,0.061172441888837,0.0571179603805863,0.0531866827759756,0.072477339773243,0.0628344759282871,0.0542083817764304,0.050646657964203,0.0381309620986955,0.0140001371010015,0.018688203038969,0.0236574132877706,0.0268093254576235,0.0109110520305772,0.0179535693201732,0.0859064977753471,0.0635551322929159,0.0161944501841466,0.0125191932922057,0.0001117051974404,2.198827724827231e-07,8.454417080902358,99.49584692128334,61,53.7543286816756,-39.24567131832439,-44.333286290434486,5.087614972110096,0.3953978587422252,0.2630196621076869,1.0,1.0,1,108.75518487455868,10.392172774825143,272.2746506044828,-0.1635701064059072,0.0008589917128905,2878.981132075472,-1.340646671245472e-18,0.0001255368401499,-0.7058052121265381,3.445717584378018,0.7495449233473405
3,3,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,3.5564,3.6766,5110.412,7367.294,0.1202,2256.882,6244.62890625,3.622312925170068,0.1277097505668934,2239.453125,286.0,0.1864400218322867,0.0715305049058308,0.0749429913299511,0.0521972803154062,0.0529453283980246,0.0633830954676905,0.0662701206915674,0.2149521799668311,0.1820926129937062,0.0545483030854905,0.0508841979570384,0.0372669512588604,0.0340582231288328,0.0537505916931316,0.0490691209326045,0.2184676689926601,0.1757034999159351,0.0442947420628984,0.0461697633945832,0.0397039294715779,0.0291894473651696,0.0613965419899656,0.0509631791379891,0.1039037839020319,0.0871460235352679,0.0583647935583419,0.0371764984776156,0.0454431259299275,0.0359154582168647,0.0699466472269608,0.0551515802552844,0.0590053620042495,0.0323000907520513,0.0821727250736269,0.0651617120473191,0.0470023744167982,0.042335693404946,0.0594754489365019,0.0516396750812835,0.0285471641907099,0.0280727317269124,0.0352592566847328,0.0268456629752847,0.1067653738633451,0.069818598337795,0.0359536546957572,0.0314960140008037,7.091372921254406e-05,4.7159334096719185e-08,6.273552661976487,49.25149794384338,61,47.26841372694184,-45.73158627305816,-55.59379474815966,9.862208475101504,0.4744040166780307,0.2791561492607866,1.0,1.0,1,82.56146584192093,8.49109054319103,359.4845552754266,0.8477767695550642,0.0005000110986105,5914.940577249576,2.6807875335223552e-18,0.0001127804119729,0.5638325250942204,2.5656568746950787,0.8969783801006884
4,4,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,3.6866,3.7668,6407.471,7419.176,0.0801,1011.706,6890.625,3.7268027210884354,0.0696598639455782,990.52734375,69.0,0.2473157219468837,0.0690068690653116,0.0821128646587946,0.0564778802557841,0.0559664160969544,0.0610016126161396,0.0722002303118135,0.2226827660056555,0.2318477622885527,0.055787413230848,0.0485524128690076,0.0410763308597907,0.0413718686789375,0.061787206797018,0.0531852553530501,0.1825308980823243,0.2100770648508986,0.0567882125419192,0.0512874523590881,0.0482912058045382,0.0384957886789848,0.0783520024501603,0.0568095620622915,0.0609704770255772,0.0421138765414543,0.0533384520045205,0.0419146364971492,0.0421600430514065,0.0346095745584592,0.108048194189631,0.0796303948384147,0.0716505376818041,0.0738437059499733,0.0836335926295364,0.0614212105035931,0.0778042443125225,0.0595869709540129,0.0744022971684043,0.077808095188968,0.0328348556550891,0.0325818189665435,0.0568425007974285,0.043727515670598,0.1140964724201518,0.0527248831036867,0.039099631724908,0.0354350542123496,5.881972443124944e-05,3.563074123786341e-08,5.143431327187502,32.43154218291624,59,46.01341199985677,-46.98658800014322,-51.824547379913625,4.837959379770403,0.5007908021165282,0.2266080251626808,1.0,1.0,1,86.60738595972329,9.262787609609466,298.5942846983985,0.630726581232659,0.0001276502945282,3729.0441176470586,-2.0094534382355776e-18,0.0001262989293152,-0.2156109055144537,1.6980695964030086,0.9804876386681308
5,5,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,3.8169,3.897,5343.882,6277.765,0.0801,933.882,5813.96484375,3.8545124716553287,0.0812698412698412,947.4609375,77.0,0.2515218986766893,0.0664421694290428,0.0753033475879495,0.0622990272631083,0.0641875012360736,0.0695562466934218,0.0734254625356919,0.2168585949395211,0.1263914735801174,0.0553819651490317,0.0525597192608393,0.041804789057191,0.034436363000969,0.0642801788606817,0.0581998230717063,0.2580650682027167,0.2115310959350293,0.0659460198625651,0.0522399012619574,0.0251420788621946,0.0214360985859224,0.0295552984222511,0.0376943466654717,0.2079597509290806,0.2438337002480555,0.086199901403012,0.0694148367336645,0.027829138536405,0.0234928714502346,0.0419569394402417,0.0259691027932272,0.0430812179601129,0.0567743795830522,0.0795196474456287,0.0613559871237021,0.023884462413476,0.0245017382200057,0.0473553973865226,0.0425055338737577,0.0387971229572217,0.0366963756557977,0.0540687936071919,0.0411480031899902,0.1048269064821967,0.0881193649234466,0.0305321715825504,0.0261889139798461,0.0001096617774316,5.592100218887603e-08,3.4492164729542525,17.368828236836624,63,48.41438378662056,-44.58561621337943,-48.23168185153053,3.646065638151093,0.6337929775893747,0.4171384980846048,1.0,1.0,1,86.6073859597233,9.262787609609466,280.8675705541779,0.8017427255792027,0.0002046978826595,4919.422423556059,2.0117291499436586e-18,0.0001011170869456,0.2418613708495962,2.1865896479245057,0.9783919598847048
6,6,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,3.9421,3.9972,4838.309,5590.603,0.0551,752.294,5211.03515625,3.9706122448979593,0.0464399092970521,775.1953125,36.0,0.1459745970524555,0.0587159302787395,0.0714547780839865,0.0567952248233242,0.0460916105687965,0.077881593903376,0.0820457129519891,0.1951611769771412,0.1589590729076034,0.0454012725901194,0.0428241823209308,0.0661364807079007,0.0527403825317392,0.0820700870089373,0.0679760351779229,0.0667945975589535,0.1007524540622277,0.0541524327624286,0.0396926189889132,0.0534793688984875,0.0558389895289106,0.0697731391796008,0.0670872717102265,0.0841968083065693,0.04214354246847,0.0920663794363147,0.0706537012468426,0.021673706912175,0.029862968519641,0.0334578926994599,0.0324659708137107,0.0481194585517198,0.034221671186498,0.0740345619733387,0.061724184052069,0.0182213041196276,0.0123692321485629,0.0525165756484106,0.0471337835504411,0.0420944567502638,0.0377765895423469,0.052693167491525,0.0425500574373035,0.092473331723291,0.0848356242360532,0.0324519387826437,0.0282004847670121,5.401136300935746e-05,4.259210183698989e-08,8.185055660222883,80.41779155252796,64,46.67370394824813,-46.32629605175186,-49.35000953634703,3.02371348459517,0.3865237472913219,0.9524449698897668,1.0,1.0,1,145.66973658610502,12.041408271453518,258.15672162042097,0.3688350523672707,6.08293910143766e-05,2087.037037037037,-1.4620220900413586e-18,0.0001583763439417,-0.0973541761191041,1.8867723755115968,0.8990299884228667
7,7,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,3.9872,4.1174,3688.219,4679.676,0.1302,991.457,4177.44140625,4.051882086167801,0.1393197278911564,990.52734375,138.0,0.2463428594142802,0.0513155105501477,0.0672143633598115,0.0468162877893121,0.0483065248261538,0.0640339235336259,0.0713679432541422,0.1672569256300659,0.1507143720786559,0.0352523709360608,0.0316933791242168,0.0282650892421118,0.0215276364535457,0.0498997713792978,0.0445209203034927,0.0932532938405705,0.0726041214822731,0.044259899851554,0.0333540108752726,0.0356669710856412,0.0261519574055232,0.0663984013200544,0.0494546913163488,0.0879919115024269,0.0893654723038653,0.0628311002283428,0.0461812280707165,0.0375889638879619,0.033868162365216,0.0747986673632681,0.063030737425446,0.0796756973887064,0.0802919585027815,0.0714058615418251,0.0568998041164548,0.0578005619695571,0.0375804155872402,0.0495593973703489,0.0440149429828524,0.0424264697000465,0.0380659228788621,0.0411921321426829,0.0352618614102859,0.0835282692163303,0.0612230364956835,0.0317613919410818,0.0270957584950955,7.415103060405354e-05,5.599671628272765e-08,6.517474042422365,52.16931750072669,60,47.98110413883121,-45.01889586116878,-52.13432327051453,7.115427409345749,0.4576109419723022,0.3733906425634766,1.0,1.0,1,84.18349207007019,8.681101774555085,351.35288361558287,0.5365995202208639,0.0004530970249659,1413.1661442006268,6.187240819924244e-18,0.0004407501520426,-0.9461442513695612,2.603832376813076,0.8675515615300596
8,8,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,4.1374,4.1875,4124.46,6147.032,0.0501,2022.572,5124.90234375,4.167981859410431,0.0580498866213151,2024.12109375,117.5,0.2005100566557537,0.0599976522831319,0.0628877290483943,0.0440202055085504,0.044213781803074,0.0716525445872855,0.0753281065915795,0.2628524711385359,0.2139568902405669,0.038860421309559,0.0442058346958575,0.0311663441017659,0.0245216049278655,0.0538575457621978,0.0526520064571562,0.23111274030458,0.2734875836898227,0.0395579313479563,0.0305440120572484,0.0278853615410944,0.0278995219094807,0.0493830552506989,0.0442427311316104,0.0950086021751315,0.0668198966261264,0.0559443120441541,0.0406418344809625,0.0158074447420086,0.0153621932106976,0.0522244914767006,0.0456614070131214,0.0708392099323619,0.0902570127467395,0.0445070398938072,0.0370696818506494,0.0319514436781252,0.0270453829355102,0.0580470478936033,0.0434622423814014,0.0476192831325359,0.0495374959297697,0.0669854427050302,0.0508671878133183,0.0906490130354106,0.0818840061009238,0.0372230657707897,0.0330527321765262,9.729860271910535e-05,6.522923459139743e-08,3.364794480598733,13.670922339116704,65,48.82568775908511,-44.17431224091489,-46.82977241405212,2.655460173137236,0.6009926378572247,0.3328997904647439,1.0,1.0,1,145.66973658610505,12.041408271453513,244.3870269494899,0.883523966008477,9.382971055222428e-05,8125.260298777728,0.0,7.180804409498508e-05,0.6762313093857607,3.147294335456123,0.9344303561309766
9,9,africanoides,Calendulauda,Alaudidae,Passeriformes,Grasslands,449420,4.2577,4.2977,4124.46,6028.058,0.0401,1903.597,5081.8359375,4.272471655328798,0.0348299319727891,1894.921875,66.0,0.2210195515652966,0.0482716304009333,0.0508862716062413,0.0456689794965699,0.0471514019154505,0.0495552506346529,0.0554642278621363,0.1808864997121921,0.1633528670754672,0.0432640355101818,0.0420461647792006,0.0355354097263737,0.0280173222540814,0.0468966870540264,0.0418674472821738,0.1715277944799497,0.1587265928458708,0.0391288875035966,0.032502104768001,0.0316786051596548,0.029139307946357,0.0540155962782302,0.0407378709156611,0.0950550148917107,0.0537572692886251,0.0514847815391252,0.0379974074036691,0.0174039984115589,0.0226504910497707,0.0492891405431294,0.0458254492574869,0.0636388236415911,0.0764755769665496,0.0331699667799015,0.0297129111442745,0.0333680550587939,0.0309925516179422,0.0561963090074299,0.0388005024581575,0.0514247190671037,0.0557455315961298,0.0741227764027067,0.0542143971376465,0.087467869237342,0.0815559464109212,0.0401660865797201,0.0363294793947776,7.409157680027107e-05,1.0683006137124429e-07,9.64779189161977,110.76933274282892,62,50.59725598537166,-42.40274401462834,-42.408169627004206,0.0054256123758662,0.3364327127279372,1.1102230246251563e-16,1.0,1.0,1,219.5011544011546,14.798457661387063,173.40670978738254,0.9898674345704632,0.0,9975.0,-1.0070050109978744e-18,3.70743455421932e-05,0.0290406818110552,2.705600722973954,0.9789484520633192
